,LIR,LPeak,errLPeak,errLIR
346,45539953669.56768,146.55973454569963,5.972383398414612,2215746237.541231
347,32797790283.928154,125.83968207226874,5.309763605711812,1854373784.4454577
348,2561241411.982812,125.6827853873246,6.011007143675414,123240201.36919498
349,21001272194.32749,153.12738309256144,11.168974498912942,2053989274.4752946
350,146763774107.31885,124.63388065319452,7.090949517806963,7675509310.808317
351,8356697001.908033,130.94810946433324,6.341670716772025,479866461.2365526
352,28838784830.636147,147.57891940554015,6.10120969052902,1634053712.113634
353,40476573250.68673,131.93357803103666,6.0225525510791345,1977213339.707851
354,156610095804.52783,120.8607390540284,5.2375596317911475,7910755803.969905
355,43555836454.87074,128.89695513522867,5.9614085309890665,2622564341.3380437
356,16673021486.358406,115.79337417061348,5.4993245820166505,862734405.13598
357,18158858925.719543,133.94969284721148,5.475394415624435,906910342.4525356
358,21829442163.012627,119.85482892778136,5.721060392995738,1064767860.775383
359,71631170576.49118,135.07146774293756,5.365820103013735,3531858001.9608088
360,19138272201.25904,128.0780984632884,5.870784796026713,976494923.7412378
361,111238109986.44528,122.69964244609089,5.79537795827521,6389578822.902864
362,26660716551.371086,91.9702819681299,3.816165069614523,1721101489.73484
363,29694497293.68743,145.50200651280045,6.110600903643456,1687250068.058729
364,90117248316.25836,134.66547081336893,7.795762371160749,7914591905.003822
365,50239856936.2857,120.78832871510065,6.765124939687494,2495225420.265189
366,10937074777.849743,136.1202237861237,5.959668014897005,666556963.1804603
367,11189003588.1325,143.6872612947635,6.618891811592782,610723528.9818469
368,2264601065.1126223,127.83446639548193,8.057215447359338,155531740.7675354
369,7679200805.675732,155.36952272635492,6.886148138903984,473258374.52159363
370,16247977765.39154,160.15208977636186,6.223400762890474,946965645.400593
371,16469588509.576887,127.5513978637265,5.8572445558040185,800697838.3484448
372,4590436817.962526,144.45943642357543,5.500991755818549,234802731.95256403
373,5536437012.074333,118.69057934030475,6.365148424527421,272811120.2737385
374,19383068165.1082,131.7611281086369,5.619504637254952,966073601.0652953
